,name,image,architect,year,location,point,notes
131,Keeton (William T.) House,,KieranTimberlake,2005,4 Forest Park Ln,"[-76.489547, 42.446723]","Built as part of the ""West Campus Initiative."""
132,Llenroc,upload.wikimedia.org/wikipedia/commons/6/61/Llenroc.jpg,Nichols & Brown,1867-1875,100 Cornell Ave,"[-76.491997, 42.44661]",Built as Ezra Cornell's mansion. Sold to Delta Phi fraternity in 1911.
133,Lyon/McFaddin/War Memorial,upload.wikimedia.org/wikipedia/commons/a/a0/Cornell_war_memorial_2013.JPG,Charles Klauder,1928,336 West Ave,"[-76.488041, 42.4478]","Lyon and McFaddin towers originally represented the Army and Navy, respectively."
134,Mennen Hall,upload.wikimedia.org/wikipedia/commons/1/11/Mennen_Hall%2C_Cornell_University.jpg,Charles Klauder,1931,342 West Ave,"[-76.488062, 42.447999]",Mennen Hall was the final West Campus residence hall constructed in College Gothic style.
135,Noyes Community and Recreation Center,upload.wikimedia.org/wikipedia/commons/8/8d/Noyes_Community_Recreation_Center%2C_Cornell_University.jpg,KieranTimberlake,2007,306 West Ave,"[-76.488018, 42.446462]","Fitness center, climbing wall, air hockey tables, basketball court, game center, and convenience store."
137,Rose (Flora) House,upload.wikimedia.org/wikipedia/commons/2/21/Flora_Rose_House%2C_Cornell_University.jpg,KieranTimberlake,2006,134 Gothics Way,"[-76.48885, 42.447773]","Built as part of the ""West Campus Initiative."""
138,Sage House,upload.wikimedia.org/wikipedia/commons/4/4c/Henry_Sage_Mansion.jpg,William Henry Miller,1876,118 Sage Place,"[-76.491457, 42.439727]",
139,Schuyler House,upload.wikimedia.org/wikipedia/commons/1/1a/Schuyler_House%2C_Cornell_University.jpg,,1840/1911,112 Sage Place,"[-76.49185, 42.43995]","Originally served as the campus infirmary, later used for student housing. A large addition was added in 1911."
140,Schwartz Performing Arts Center,upload.wikimedia.org/wikipedia/commons/9/94/Cornell_University_Schwartz_Center_for_the_Performing_Arts.jpg,James Stirling,1989,430 College Ave,"[-76.48593, 42.442437]","Performing arts education, professional training and public performance"
141,Sheldon Court,upload.wikimedia.org/wikipedia/commons/6/6b/Sheldon_Court%2C_Cornell_University.jpg,Charles Lacy Sheldon,1902,420 College Ave,"[-76.485593, 42.442239]","Originally a private dormitory for men with shops on the first floor, it was willed to Cornell by Charles Sheldon in 1914. Renovated 1982."
142,Telluride House,upload.wikimedia.org/wikipedia/commons/7/7e/TELLURIDE_HOUSE%2C_ITHACA%2C_TOMPKINS_COUNTY.jpg,William H. Lepper,1910,217 West Ave,"[-76.48709308, 42.44579775]",A residential intellectual society
143,Von Cramm Cooperative Hall,upload.wikimedia.org/wikipedia/en/4/44/Von_Cramm_Hall_in_Winter.JPG,"Ernest A. Van Vleck, B.Arch 1897",1955,623 University Ave,"[-76.491339, 42.448949]",A student operated house.
144,Anna Comstock House,,,1925,520 Thurston Ave,"[-76.482343, 42.453918]",Home to the Latino Living Center.
145,Balch Hall,upload.wikimedia.org/wikipedia/commons/b/b8/Cornell_Balch_Halls_Exterior.jpg,Frederick L. Ackerman,1929,600 Thurston Ave,"[-76.479677, 42.452988]",Balch is a collection of four 80-student residence halls around a central courtyard.
146,Clara Dickson Hall,upload.wikimedia.org/wikipedia/commons/e/e6/Clara_Dickson_Hall%2C_Cornell_University.jpg,,1946,21 Sisson Place,"[-76.479112, 42.454242]",
147,Fuertes Observatory,upload.wikimedia.org/wikipedia/commons/0/03/Fuertes_Observatory.jpg,"L.P. Burnham, Cornell Professor of Architecture",1917,209 Cradit Farm Drive,"[-76.474502, 42.45277]","The current building is ""the fourth or fifth"" astronomical observatory on the Cornell campus"
148,Helen Newman Hall,upload.wikimedia.org/wikipedia/commons/4/48/Helen_Newman_Hall%2C_Cornell_University.jpg,,1963,163 Cradit Farm Drive,"[-76.477354, 42.452959]",
149,High Rise 5,upload.wikimedia.org/wikipedia/commons/8/87/High_Rise_Five%2C_Cornell_University.jpg,Gyo Obata,1975,225 Jessup Road,"[-76.476787, 42.456161]",
150,Holland Living Center (Low Rise 8),upload.wikimedia.org/wikipedia/commons/8/80/Holland_International_Living_Centre%2C_Cornell_North_Campus_%281987%29.jpg,Gyo Obata,1975,128 Program House Drive,"[-76.47605787, 42.45564416]",
151,Jameson (George) Hall (High Rise 1),,Gyo Obata,1975,44 Sisson Pl,"[-76.478212, 42.455676]",
152,Just About Music (JAM); Low Rise 9,,Gyo Obata,1975,142 Program House Dr,"[-76.47611913, 42.45511083]",
153,Low Rise 6,,Gyo Obata,1975,237 Jessup Rd,"[-76.476103, 42.456324]",
154,Low Rise 7,upload.wikimedia.org/wikipedia/commons/3/30/Low_Rise_7%2C_Cornell_University.jpg,Gyo Obata,1975,116 Program House Drive,"[-76.475361, 42.456156]",
155,Mary Donlon Hall,upload.wikimedia.org/wikipedia/commons/9/99/Mary_Donlon_Hall%2C_Cornell_University.jpg,,1961,57 Sisson Place,"[-76.477745, 42.45496]",Renovated by Holt Architects in 2003
156,Noyes Lodge,upload.wikimedia.org/wikipedia/commons/c/ce/Tang_Welcome_Center_at_Noyes_Lodge%2C_Cornell_University.jpg,,1958,616 Thurston Ave,"[-76.48027859, 42.45210573]","Built in 1958 as a dining hall, known for many years as ""The Pancake House."" 2018 renovation by JMZ Architects redesigned Noyes as the Martin Y. Tang Welcome Center."
157,Risley Hall,upload.wikimedia.org/wikipedia/commons/c/c3/Risley_Hall%2C_Cornell_University.jpg,William Henry Miller,1913,535 Thurston Avenue,"[-76.48193, 42.45314]","Originally opened to accommodate the growing enrollment of women,"
158,Robert Purcell Community Center,upload.wikimedia.org/wikipedia/commons/5/52/Robert_Purcell_Community_Center%2C_Cornell.jpg,Gyo Obata,1975,217 Jessup Road,"[-76.477497, 42.455934]",
159,Ujamaa (Low Rise 10),upload.wikimedia.org/wikipedia/commons/4/4e/Ujamaa_-_Low_Rise_10%2C_Cornell_University.jpg,Gyo Obata,1975,68 Sisson Pl,"[-76.47672298, 42.45534043]",A long rectangular building with projecting wings
160,Appel Commons,upload.wikimedia.org/wikipedia/commons/f/f4/Appel_Commons%2C_Cornell_University.jpg,Dagit Saylor Architects,2000,186 Cradit Farm Dr,"[-76.476101, 42.453569]","Dining, fitness center"
161,Bauer Hall,upload.wikimedia.org/wikipedia/commons/2/28/Bauer_Hall%2C_Cornell_University.jpg,The Hillier Group,2000,148 Cradit Farm Dr,"[-76.478462, 42.453612]",
162,Court Hall,upload.wikimedia.org/wikipedia/commons/f/f2/Court_Hall%2C_Cornell_University.jpg,The Hillier Group,2000,148 Cradit Farm Dr,"[-76.478029, 42.454471]",
163,Kay Hall,upload.wikimedia.org/wikipedia/commons/4/40/Kay_Hall%2C_Cornell_University.jpg,The Hillier Group,2001,148 Cradit Farm Dr,"[-76.477997, 42.454128]",
164,Mews Hall,upload.wikimedia.org/wikipedia/commons/b/bb/Mews_Hall%2C_Cornell_University.jpg,The Hillier Group,2000,172 Cradit Farm Dr,"[-76.47689447, 42.45438604]","87,129 sq ft; 260+ beds"
165,Ganedago: Hall,upload.wikimedia.org/wikipedia/commons/0/09/Ganedago_Hall%2C_Cornell_University.jpg,ikon.5 Architects,2021,121 Triphammer Road,"[-76.47946398, 42.45626386]",
166,Toni Morrison Hall,upload.wikimedia.org/wikipedia/commons/7/70/Toni_Morrison_Hall%2C_Cornell_University.jpg,ikon.5 Architects,2021,18 Sisson Place,"[-76.47935, 42.45563]",
167,Barbara McClintock Hall,upload.wikimedia.org/wikipedia/commons/c/cd/Barbara_McClintock_Hall%2C_Cornell_University.jpg,ikon.5 Architects,2022,224 Cradit Farm Dr,"[-76.47437, 42.45369]","103,835 sq ft; 311 beds"
168,Hu Shih Hall,upload.wikimedia.org/wikipedia/commons/9/99/Hu_Shih_Hall%2C_Cornell_University%2C_north_facade.jpg,ikon.5 Architects,2022,141 Program House Dr,"[-76.47505, 42.45511]","138,773 sq ft; 429 beds"
169,Ruth Bader Ginsburg Hall,upload.wikimedia.org/wikipedia/commons/0/06/Ruth_Bader_Ginsburg_Hall%2C_Cornell_University.jpg,ikon.5 Architects,2022,155 Program House Dr,"[-76.47559, 42.45404]","162,849 sq ft; 504 beds"
